dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
21;24;2021-05-03;2720;1203;51370.0;5.3;2.3
21;29;2021-05-03;2215;1075;29584.0;7.5;3.6
21;39;2021-05-03;5266;2660;62868.0;8.4;4.2
21;49;2021-05-03;7033;3601;65826.0;10.7;5.5
21;59;2021-05-03;18511;6418;68688.0;26.9;9.3
21;64;2021-05-03;14830;3338;33480.0;44.3;10.0
21;69;2021-05-03;16792;4396;32324.0;51.9;13.6
21;74;2021-05-03;21540;8480;29647.0;72.7;28.6
21;79;2021-05-03;15099;11986;18184.0;83.0;65.9
21;80;2021-05-03;26005;20902;34790.0;74.7;60.1
22;24;2021-05-03;1779;636;36952.0;4.8;1.7
22;29;2021-05-03;2018;788;23678.0;8.5;3.3
22;39;2021-05-03;6361;2590;60806.0;10.5;4.3
22;49;2021-05-03;9792;4187;72804.0;13.4;5.8
22;59;2021-05-03;23337;9000;80453.0;29.0;11.2
22;64;2021-05-03;21583;5262;43408.0;49.7;12.1
22;69;2021-05-03;26937;7535;44297.0;60.8;17.0
22;74;2021-05-03;36088;13925;40776.0;88.5;34.1
22;79;2021-05-03;22177;16513;24257.0;91.4;68.1
22;80;2021-05-03;39915;30954;50299.0;79.4;61.5
23;24;2021-05-03;348;81;6260.0;5.6;1.3
23;29;2021-05-03;397;141;4492.0;8.8;3.1
23;39;2021-05-03;1156;419;10711.0;10.8;3.9
23;49;2021-05-03;2041;723;13371.0;15.3;5.4
23;59;2021-05-03;5435;1598;17031.0;31.9;9.4
23;64;2021-05-03;4988;1011;9821.0;50.8;10.3
23;69;2021-05-03;5701;1340;9849.0;57.9;13.6
23;74;2021-05-03;6454;2500;8970.0;72.0;27.9
23;79;2021-05-03;4308;3119;5131.0;84.0;60.8
23;80;2021-05-03;8340;6405;11943.0;69.8;53.6
24;24;2021-05-03;659;221;22541.0;2.9;1.0
24;29;2021-05-03;965;346;15932.0;6.1;2.2
24;39;2021-05-03;3019;1173;39189.0;7.7;3.0
24;49;2021-05-03;5595;2088;48292.0;11.6;4.3
24;59;2021-05-03;16179;4697;59110.0;27.4;7.9
24;64;2021-05-03;14661;2673;32291.0;45.4;8.3
24;69;2021-05-03;17856;3428;33389.0;53.5;10.3
24;74;2021-05-03;22028;7457;30858.0;71.4;24.2
24;79;2021-05-03;14790;9943;19184.0;77.1;51.8
24;80;2021-05-03;25395;17788;38638.0;65.7;46.0
25;24;2021-05-03;1433;506;47429.0;3.0;1.1
25;29;2021-05-03;1562;521;30431.0;5.1;1.7
25;39;2021-05-03;3934;1536;67253.0;5.8;2.3
25;49;2021-05-03;6166;2278;67339.0;9.2;3.4
25;59;2021-05-03;17150;5196;67781.0;25.3;7.7
25;64;2021-05-03;15048;2877;31706.0;47.5;9.1
25;69;2021-05-03;16651;3557;30203.0;55.1;11.8
25;74;2021-05-03;20093;7917;28593.0;70.3;27.7
25;79;2021-05-03;14515;11356;17681.0;82.1;64.2
25;80;2021-05-03;24153;19152;33060.0;73.1;57.9
26;24;2021-05-03;905;251;34548.0;2.6;0.7
26;29;2021-05-03;1139;390;24822.0;4.6;1.6
26;39;2021-05-03;3926;1347;62462.0;6.3;2.2
26;49;2021-05-03;6561;2220;65055.0;10.1;3.4
